"Arrangement Number","Country Name","Country Code","Arrangement Type","Approval Date","Approval Year","Intial End Date","Initial End Year","Revised End Date","Duration Of Annual Arrangement From","Duration Of Annual Arrangement To","Program Type","Review Type","Review Sequence","Board Doc. No.","Mneumonic","Description","Program year","Year Type","FY Start Month","FY End Month","T-3","T-2","T-1","T","T+1","T+2","T+3","T+4","Indicator Currency","Sort"
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BAFA","Change in Gross Reserves (-increase, including valuation changes)",1998,"FY","April","March","1.4","-3.4","-6","0.2","0.5","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BAFLI","Use of Fund Credit, net",1998,"FY","April","March","0","0","0","6.1","2.6","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BAR","Changes in External Payments Arrears (+ increases)",1998,"FY","April","March","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BAVC","Valuation change",1998,"FY","April","March","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BCAX","Current Account (excl. off transfers) (A-B+C-D-E)",1998,"FY","April","March","-3.7","-7","-7.9","-6.1","-5.2","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BDRPT","Rescheduling contracted before program 5/",1998,"FY","April","March","0","0","0","0","0","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BEF_G","Programmed Financing Gap (-M-N-O-P-Q-R-S)",1998,"FY","April","March","0","0","0","0","0","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BEF_O","Other BOP Support 6/",1998,"FY","April","March","0","0","0","0","0.9","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BKMEO","Other Net Inflows (including e & o) 4/",1998,"FY","April","March","2.4","10.9","15.8","-0.1","2","NULL","NULL","NULL","US$ bn",-1
256,"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"NULL","NULL","NULL","P1","OldBoardApproval","E","EBS/97/195","BK_MB","Official borrowing from multilateral and bilateral lenders (excl. Fund)",1998,"FY","April","March","5.8","5.9","7.1","7.4","6.5","NULL","NULL","NULL","US$ bn",-1
