"Country Name","Country Code","Arrangement Type","Approval Date","Approval Year","Intial End Date","Initial End Year","Mneumonic","Description","Program year","Year Type","T-3","T-2","T-1","T","T+1","T+2","T+3","T+4","Indicator Currency","Sort"
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BAFA","Change in Gross Reserves (-increase, including valuation changes)",1998,"FY","1.4","-3.4","-6","0.2","0.5","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BAFLI","Use of Fund Credit, net",1998,"FY","0","0","0","6.1","2.6","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BAR","Changes in External Payments Arrears (+ increases)",1998,"FY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BAVC","Valuation change",1998,"FY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BCAX","Current Account (excl. off transfers) (A-B+C-D-E)",1998,"FY","-3.7","-7","-7.9","-6.1","-5.2","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BDRPT","Rescheduling contracted before program 5/",1998,"FY","0","0","0","0","0","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BEF_G","Programmed Financing Gap (-M-N-O-P-Q-R-S)",1998,"FY","0","0","0","0","0","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BEF_O","Other BOP Support 6/",1998,"FY","0","0","0","0","0.9","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BKMEO","Other Net Inflows (including e & o) 4/",1998,"FY","2.4","10.9","15.8","-0.1","2","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BK_MB","Official borrowing from multilateral and bilateral lenders (excl. Fund)",1998,"FY","5.8","5.9","7.1","7.4","6.5","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BK_PF","Public Commercial Borrowing, MLT",1998,"FY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BK_SP","Scheduled Principal Payments (excl. Fund)",1998,"FY","6.1","6.4","9.1","7.8","7.5","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BS_I","Scheduled Net Interest Payments",1998,"FY","5.3","6","6","7.9","8.1","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BMS_O","Services, Debit (excluding interest)",1998,"FY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BMT","Merchandise Imports",1998,"FY","37.9","46.1","50.9","50.4","55.6","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BO","Overall Balance (+F+G+H+I+J-K+L)",1998,"FY","-1.4","3.4","6.1","-6.3","-4","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BS_O","Services net",1998,"FY","-2.6","-2.7","-3.2","-3.3","-2.3","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BTRG","Official Transfers (net) 3/",1998,"FY","0.2","0.2","0.2","0.3","0.3","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BXS_O","Services, Credit and Private Transfers",1998,"FY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"BXT","Merchandise Exports",1998,"FY","42.1","47.8","52.1","55.6","60.8","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"DL","External Debt (incl. Fund) 8/",1998,"FY","101.2","106.5","113.3","125.7","129.5","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"DS","Scheduled Debt Service",1998,"FY","15.8","17.6","21.5","23.2","23.2","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"D_R","Cancellation of Stock of Debt 7/",1998,"FY","0","0","0","0","0","NULL","NULL","NULL","US$ bn",-1
"INDONESIA",536,"SBA","11/5/1997",1997,"11/4/2000",2000,"ENDA","Exchange rate vis-a-vis numeraire (average)",1998,"FY","2181","2276","2373","2932","3200","NULL","NULL","NULL","US$ bn",-1
